,Title,1st_topic,1st_topic_percentage,2nd_topic,2nd_topic_percentage
2549,M-polar Neutrosophic Generalized Weighted and m-polar Neutrosophic Generalized Einstein Weighted Aggregation Operators to Diagnose Coronavirus (COVID-19),1.0,23.47,5.0,18.79
2550,New challenges in teaching architecture students in the third decade of the 21st Century,0.0,29.96,3.0,20.08
2551,Quantifying the Time-Lag Effects of Human Mobility on the COVID-19 Transmission: A Multi-City Study in China,4.0,47.04,6.0,15.44
2552,A perceptive watermarking approach applied to covid-19 imaging data,1.0,32.54,5.0,18.63
2553,3D printing novel PPE for response to covid-19 related shortages,3.0,27.04,6.0,19.55
2554,A four-part typology to assess organizational and individual security awareness,6.0,36.17,3.0,14.4
2555,"DPL: A comprehensive database on sequences, structures, sources and functions of peptide ligands",2.0,49.82,5.0,13.85
2556,Fabric response to COVID-19 ozone sterilization,3.0,21.43,2.0,16.91
2557,Prediction of COVID-19 active cases using exponential and non-linear growth models,4.0,55.47,1.0,10.63
2558,Protean: VM allocation service at scale,3.0,28.97,2.0,13.95
2559,An Enhanced Dynamic Source Routing Algorithm for the Mobile Ad-Hoc Network using Reinforcement learning under the COVID-19 Conditions,3.0,31.49,1.0,19.74
2560,Are you a great negotiator? game-based learning of 21st century negotiation skills in the Netherlands and Japan,0.0,25.5,6.0,21.38
2561,Gamification of strategic thinking: A COTS boardgame for learning strategy development and strategy implementation (Covid-19 improvised online facilitation),0.0,42.12,5.0,13.49
2562,Unsupervised anomaly detection in multivariate spatio-temporal data using deep learning: Early detection of covid-19 outbreak in Italy,1.0,29.05,5.0,25.18
2563,Modding tabletop games for alignment with state standards: Developing the geographic literacy of elementary level learners,0.0,42.62,6.0,16.04
2564,Mutations in the SARS-CoV-2 spike RBD are responsible for stronger ACE2 binding and poor anti-SARS-CoV mAbs cross-neutralization,2.0,61.8,4.0,7.96
2565,Canadian academic librarians as online teachers,0.0,51.42,6.0,17.77
2566,Fuzzy logic-based covid-19 and other respiratory conditions pre-clinical diagnosis system,2.0,25.95,1.0,19.4
2567,An empirical investigation of precursors influencing social media health information behaviors and personal healthcare habits during coronavirus (COVID-19) pandemic,6.0,45.5,5.0,15.83
2568,Interventions to improve cognitive presence and student performance in the age of COVID-19,0.0,42.72,6.0,16.4
2569,Does multidisciplinary learning help global problem: Covid-19 by biomedical engineering?,0.0,37.62,5.0,14.76
2570,Random Network Transmission and Countermeasures in Containing Global Spread of COVID-19-Alike Pandemic: A Hybrid Modelling Approach,4.0,45.57,6.0,11.87
2571,Plagiarism in an online learning environment: Reflections on best practice using the analytical lens of behavioural science,0.0,32.4,5.0,19.44
2572,Facilitating the Analysis of COVID-19 Literature Through a Knowledge Graph,5.0,31.86,2.0,16.62
2573,Viral Diseases Propagation Analysis in Short Time,4.0,26.47,2.0,22.48
2574,Global pandemic contorts traditional classroom teaching for private school,0.0,60.53,5.0,9.44
2575,Pivots from the void - How school leaders enact the catholic competencies they teach their students,0.0,37.11,4.0,15.83
2576,Covid-on-the-Web: Knowledge Graph and Services to Advance COVID-19 Research,5.0,40.52,0.0,16.58
2577,Manage the present or focus on the future? Leveraging new technologies in post-pandemic education,0.0,35.37,6.0,19.67
2578,A gendered analysis of COVID-19 and the implications for online learning,6.0,35.54,3.0,14.6
2579,Tele-Sim MSK for musculoskeletal rehabilitation professionals,0.0,27.36,3.0,25.25
2580,The design and development of a digital contact tracing application to better facilitate the tracing of passengers in the event of a biological threat/ pandemic,6.0,21.63,3.0,21.57
2581,Evolution of COVID-19 patients in Mexico city using markov chains,4.0,27.3,2.0,17.46
2582,Romanian educational system response during the covid-19 pandemic,0.0,47.04,6.0,16.95
2583,Assessing nitrogen dioxide (NO2) impact on health pre- and post-COVID-19 pandemic using IoT in India,4.0,29.71,2.0,19.97
2584,The Bayesian Confidence Interval for the Mean of the Zero-Inflated Poisson Distribution,4.0,26.55,2.0,19.31
2585,Flexible business strategies to enhance resilience in manufacturing supply chains: An empirical study,6.0,34.98,5.0,15.42
2586,Risk Monitoring Services of Discharged SARS-CoV-2 Patients,3.0,26.21,5.0,18.9
2587,Strategic enrolment management in a time of disruption: How the global pandemic will force a re-evaluation of traditional strategy,0.0,28.14,6.0,23.49
2588,Role of additive manufacturing in medical application COVID-19 scenario: India case study,6.0,25.21,3.0,24.01
2589,Lockdown or unlock in covid-19 disease? a reinforcement learning approach,5.0,21.79,4.0,19.66
2590,From creative destruction to creative disruption: Lessons for selected and strategic industries,6.0,29.76,4.0,15.6
2591,2020 Mask maker survey conducted by the eBeam initiative,0.0,22.31,1.0,18.01
2592,From concern to validation: Educational technology in Western Canadian K-12 during COVID-19,0.0,31.73,6.0,16.85
2593,Using incremental direction searches to stay away from COVID-19,3.0,19.06,6.0,16.76
2594,Rethinking Serious Games Design in the Age of COVID-19: Setting the Focus on Wicked Problems,0.0,21.92,6.0,20.86
2595,Esl teachers' intention in adopting online educational technologies during covid-19 pandemic,0.0,41.48,6.0,25.92
2596,Computational guided identification of a citrus flavonoid as potential inhibitor of SARS-CoV-2 main protease,2.0,67.57,0.0,6.69
2597,Analysis of the Services Generated Through Mobile Applications for an Accurate Diagnosis of Epidemiological Metrics Related to Covid-19,3.0,23.61,2.0,18.92
2598,Covid-19 impacts at a small mid-atlantic liberal-arts college with implications for stem education,0.0,42.73,6.0,18.92
2599,Evaluating the Real-Time Impact of COVID-19 on Cities: China as a Case Study,4.0,36.7,6.0,15.62
2600,Using Government Data and Machine Learning for Predicting Firms’ Vulnerability to Economic Crisis,6.0,37.53,1.0,12.91
2601,A fuzzy rough hybrid decision making technique for identifying the infected population of COVID-19,5.0,23.75,4.0,16.85
2602,A Data-Driven Method for Measuring the Negative Impact of Sentiment Towards China in the Context of COVID-19,5.0,35.87,4.0,15.58
2603,The IMEx coronavirus interactome: An evolving map of Coronaviridae-host molecular interactions,2.0,38.96,1.0,12.46
2604,A time-varying SIRD model for the COVID-19 contagion in Italy,4.0,38.43,5.0,16.2
2605,Modeling and Interpretation of Covid-19 Infections Data at Peru through the Mitchell’s Criteria,4.0,24.13,5.0,17.87
2606,Dynamic Radial Placement and Routing in Paper Microfluidics,3.0,25.95,2.0,15.35
2607,COVID-CheXNet: hybrid deep learning framework for identifying COVID-19 virus in chest X-rays images,1.0,51.09,4.0,14.03
2608,Teaching electronics in time of disease - virtual laboratory for Linux in embedded systems,3.0,28.2,0.0,18.09
2609,Very large multimodal multi-architecture convolutional neural network with bundled transfer learning for automated Coronavirus diagnosis,1.0,45.67,5.0,10.24
2610,Design and Implementation of a Germicidal UVC-LED Lamp,2.0,23.58,3.0,20.75
2611,A new prediction approach of the COVID-19 virus pandemic behavior with a hybrid ensemble modular nonlinear autoregressive neural network,1.0,28.6,4.0,24.0
2612,Metadata: The accelerant we need,5.0,25.73,6.0,24.11
2613,Localized automation solutions in response to the first wave of COVID-19: a story from Vietnam,6.0,28.03,3.0,18.64
2614,Surveillance Routing of COVID-19 Infection Spread Using an Intelligent Infectious Diseases Algorithm,4.0,27.83,3.0,17.23
2615,Geometric analysis of pathological changes in lungs using CT images for COVID-19 diagnosis,1.0,31.68,2.0,15.6
2616,Apollo: Twitter stream analyzer of trending hashtags: A case-study of #COVID-19,5.0,43.08,4.0,11.16
2617,Explainable Machine Learning for Early Assessment of COVID-19 Risk Prediction in Emergency Departments,1.0,38.98,4.0,17.34
2618,Transport effect of COVID-19 pandemic in France,4.0,42.33,1.0,16.0
2619,Digitizing dissection: A case study on augmented reality and animation in engineering education,0.0,42.76,6.0,18.12
2620,COVID-19 and India: what next?,4.0,37.0,5.0,18.72
2621,On the accuracy of measured proximity of bluetooth-based contact tracing apps,3.0,32.57,4.0,16.01
2622,Supporting rehabilitation patients with COVID-19 during the pandemic: Experiences from a technologybased psychological approach,3.0,29.88,6.0,17.86
2623,Exploitation and exploration of IT in times of pandemic: from dealing with emergency to institutionalising crisis practices,6.0,27.03,0.0,19.61
2624,Reflections on distance education as an alternative for emergency situations that require social isolation at the institute federal of espírito santo,0.0,24.6,6.0,19.56
2625,Higher education polytechnic students' perspectives on the transition to emergency remote teaching,0.0,41.94,5.0,14.58
2626,Group programming in COVID-19 time: The experience of the students of the ESI-CR of the UCLM,0.0,44.67,5.0,14.21
2627,Qualitative acceptance and co-design of an app aimed at improving emotional intelligence for precarious workers,0.0,24.54,6.0,20.87
2628,"Molecular docking studies, molecular dynamics and ADME/tox reveal therapeutic potentials of STOCK1N-69160 against papain-like protease of SARS-CoV-2",2.0,57.14,1.0,9.57
2629,Visual analysis of dynamic changes in structured data on the basis of colour markers,5.0,34.66,2.0,17.67
2630,SECONDARY SCHOOL LANGUAGE TEACHERS’ ONLINE LEARNING ENGAGEMENT DURING THE COVID-19 PANDEMIC IN INDONESIA,0.0,60.77,6.0,15.5
2631,AI Techniques and Mathematical Modeling to Detect Coronavirus,4.0,18.84,1.0,18.08
2632,Learning habits of civil engineering students at the University of Sucre during COVID-19,0.0,33.24,6.0,20.61
2633,A secure remote health monitoring model for early disease diagnosis in cloud-based IoT environment,3.0,35.52,1.0,22.27
2634,"Distance Education Attitudes (DEAS) During Covid-19 Crisis: Factor Structure, Reliability and Construct Validity of the Brief DEA Scale in Greek-Speaking SEND Teachers",0.0,28.59,6.0,16.55
2635,Rapid COVID-19 diagnosis using ensemble deep transfer learning models from chest radiographic images,1.0,44.32,2.0,16.75
2636,A Novel Parametric Model for the Prediction and Analysis of the COVID-19 Casualties,4.0,42.76,2.0,13.13
2637,Beyond the factory paradigm: Digital nomadism and the digital future(s) of knowledge work post-COVID-19,6.0,33.29,0.0,19.56
2638,Public opinion mining using natural language processing technique for improvisation towards smart city,5.0,42.81,3.0,14.79
2639,"The impact of COVID-19 induced lockdown on the changes of air quality and land surface temperature in Kolkata city, India",4.0,40.33,6.0,17.97
2640,A Multivariate Spatiotemporal Model of COVID-19 Epidemic Using Ensemble of ConvLSTM Networks,4.0,34.35,1.0,20.86
2641,Demystifying COVID-19 Digital Contact Tracing: A Survey on Frameworks and Mobile Apps,3.0,30.44,6.0,16.67
2642,A Novel Human-Like Control Framework for Mobile Medical Service Robot,3.0,29.87,1.0,16.2
2643,Gauging Cameroon’s resilience to the COVID-19 pandemic: implications for enduring a novel health crisis,6.0,36.31,0.0,13.31
2644,"Mathematical model for estimating unconfirmed cases of covid-19 in Ethiopia, and targeting sensitive parameters",4.0,46.59,2.0,12.19
2645,"Forecasting of the SARS-CoV-2 epidemic in India using SIR model, flatten curve and herd immunity",4.0,45.72,2.0,15.22
2646,Examining spatial accessibility to COVID-19 testing sites in Florida,3.0,16.98,6.0,15.79
2647,BART for knowledge grounded conversations,5.0,27.93,1.0,14.12
2648,Time series models for the colombian TRM exchange rate,4.0,25.99,5.0,18.6
2649,A three layered decentralized IoT biometric architecture for city lockdown during covid-19 outbreak,1.0,29.43,3.0,23.32
2650,A nonlinear second-order hyperbolic pde-based photon- limited medical microscopy image restoration technique,1.0,26.24,4.0,20.18
2651,An immersive experience in the virtual 3D VirBELA environment for leadership development in undergraduate students during the COVID-19 quarantine,0.0,40.78,6.0,13.95
2652,Diagnosis of coronavirus disease (COVID-19) from chest X-ray images using modified XceptionNet,1.0,39.65,2.0,18.05
2653,"Machine learning methods and models, predictive analytics and applications",2.0,16.97,4.0,16.72
2654,How optimistic do citizens feel about digital contact tracing? – Perspectives from developing countries,5.0,24.55,6.0,23.32
2655,Automatic system for COVID-19 diagnosis,1.0,37.42,4.0,14.64
2656,A case-study to examine doctors’ intentions to use IoT healthcare devices in Iraq during COVID-19 pandemic,6.0,45.59,3.0,16.29
2657,A multi-agent system for simulating the spread of a contagious disease,4.0,20.86,6.0,17.12
2658,Cross-national variations in COVID-19 outbreak in West Africa: Where does Nigeria stand in the pandemic?,4.0,34.78,5.0,17.78
2659,A systematic approach for COVID-19 predictions and parameter estimation,4.0,28.77,5.0,16.06
